[04/05 16:03:42]: Namespace(base_channels=16, batch_size=128, block_type='basic', depths=56, epochs=400, input_shape=[1, 3, 32, 32], learning_rate=0.1, lr_decay=0.1, milestones='[120, 240]', momentum=0.9, n_classes=10, num_workers=6, result_path='./result/04051600', seed=17, weight_decay=0.0001)
[04/05 16:03:56]: epoch: 1, train_loss: 3.366147, train_accuracy: 0.2089
[04/05 16:17:16]: Epoch Test: 64, Current test accuracy: 0.8692, Best test accuracy in 63: 0.8782
[04/05 16:17:29]: epoch: 65, train_loss: 0.372368, train_accuracy: 0.9242
[04/05 16:17:31]: Epoch Test: 65, Current test accuracy: 0.8744, Best test accuracy in 63: 0.8782
[04/05 16:17:43]: epoch: 66, train_loss: 0.363018, train_accuracy: 0.9254
[04/05 16:17:43]: Epoch Test: 66, Current test accuracy: 0.8718, Best test accuracy in 63: 0.8782
[04/05 16:17:55]: epoch: 67, train_loss: 0.354244, train_accuracy: 0.9269
[04/05 16:17:56]: Epoch Test: 67, Current test accuracy: 0.8763, Best test accuracy in 63: 0.8782
[04/05 16:18:08]: epoch: 68, train_loss: 0.348816, train_accuracy: 0.9280
[04/05 16:18:09]: Epoch Test: 68, Current test accuracy: 0.8690, Best test accuracy in 63: 0.8782
[04/05 16:18:21]: epoch: 69, train_loss: 0.346653, train_accuracy: 0.9299
[04/05 16:18:22]: Epoch Test: 69, Current test accuracy: 0.8738, Best test accuracy in 63: 0.8782
[04/05 16:18:34]: epoch: 70, train_loss: 0.350664, train_accuracy: 0.9271
[04/05 16:18:35]: Epoch Test: 70, Current test accuracy: 0.8792, Best test accuracy in 70: 0.8792
[04/05 16:18:46]: epoch: 71, train_loss: 0.339400, train_accuracy: 0.9295
[04/05 16:18:47]: Epoch Test: 71, Current test accuracy: 0.8735, Best test accuracy in 70: 0.8792
[04/05 16:18:59]: epoch: 72, train_loss: 0.335489, train_accuracy: 0.9305
[04/05 16:19:00]: Epoch Test: 72, Current test accuracy: 0.8711, Best test accuracy in 70: 0.8792
[04/05 16:19:12]: epoch: 73, train_loss: 0.332141, train_accuracy: 0.9314
[04/05 16:19:13]: Epoch Test: 73, Current test accuracy: 0.8787, Best test accuracy in 70: 0.8792
[04/05 16:19:24]: epoch: 74, train_loss: 0.317769, train_accuracy: 0.9339
[04/05 16:19:25]: Epoch Test: 74, Current test accuracy: 0.8675, Best test accuracy in 70: 0.8792
[04/05 16:19:37]: epoch: 75, train_loss: 0.318197, train_accuracy: 0.9342
[04/05 16:19:38]: Epoch Test: 75, Current test accuracy: 0.8753, Best test accuracy in 70: 0.8792
[04/05 16:19:50]: epoch: 76, train_loss: 0.321353, train_accuracy: 0.9338
[04/05 16:19:51]: Epoch Test: 76, Current test accuracy: 0.8599, Best test accuracy in 70: 0.8792
[04/05 16:20:02]: epoch: 77, train_loss: 0.308064, train_accuracy: 0.9368
[04/05 16:20:03]: Epoch Test: 77, Current test accuracy: 0.8820, Best test accuracy in 77: 0.8820
[04/05 16:20:15]: epoch: 78, train_loss: 0.316696, train_accuracy: 0.9348
[04/05 16:20:16]: Epoch Test: 78, Current test accuracy: 0.8728, Best test accuracy in 77: 0.8820
[04/05 16:20:27]: epoch: 79, train_loss: 0.300133, train_accuracy: 0.9376
[04/05 16:20:28]: Epoch Test: 79, Current test accuracy: 0.8826, Best test accuracy in 79: 0.8826
[04/05 16:20:40]: epoch: 80, train_loss: 0.306374, train_accuracy: 0.9372
[04/05 16:20:41]: Epoch Test: 80, Current test accuracy: 0.8757, Best test accuracy in 79: 0.8826
[04/05 16:20:52]: epoch: 81, train_loss: 0.295094, train_accuracy: 0.9390
[04/05 16:20:53]: Epoch Test: 81, Current test accuracy: 0.8696, Best test accuracy in 79: 0.8826
[04/05 16:21:05]: epoch: 82, train_loss: 0.299789, train_accuracy: 0.9398
[04/05 16:21:06]: Epoch Test: 82, Current test accuracy: 0.8768, Best test accuracy in 79: 0.8826
[04/05 16:21:18]: epoch: 83, train_loss: 0.297532, train_accuracy: 0.9393
[04/05 16:21:18]: Epoch Test: 83, Current test accuracy: 0.8736, Best test accuracy in 79: 0.8826
[04/05 16:21:30]: epoch: 84, train_loss: 0.291086, train_accuracy: 0.9409
[04/05 16:21:31]: Epoch Test: 84, Current test accuracy: 0.8673, Best test accuracy in 79: 0.8826
[04/05 16:21:43]: epoch: 85, train_loss: 0.288498, train_accuracy: 0.9407
[04/05 16:21:44]: Epoch Test: 85, Current test accuracy: 0.8816, Best test accuracy in 79: 0.8826
[04/05 16:21:56]: epoch: 86, train_loss: 0.283822, train_accuracy: 0.9414
[04/05 16:21:56]: Epoch Test: 86, Current test accuracy: 0.8805, Best test accuracy in 79: 0.8826
[04/05 16:22:08]: epoch: 87, train_loss: 0.276729, train_accuracy: 0.9429
[04/05 16:22:09]: Epoch Test: 87, Current test accuracy: 0.8706, Best test accuracy in 79: 0.8826
[04/05 16:22:21]: epoch: 88, train_loss: 0.281991, train_accuracy: 0.9423
[04/05 16:22:22]: Epoch Test: 88, Current test accuracy: 0.8728, Best test accuracy in 79: 0.8826
[04/05 16:22:34]: epoch: 89, train_loss: 0.279158, train_accuracy: 0.9428
[04/05 16:22:35]: Epoch Test: 89, Current test accuracy: 0.8754, Best test accuracy in 79: 0.8826
[04/05 16:22:46]: epoch: 90, train_loss: 0.280962, train_accuracy: 0.9420
[04/05 16:22:47]: Epoch Test: 90, Current test accuracy: 0.8794, Best test accuracy in 79: 0.8826
[04/05 16:22:59]: epoch: 91, train_loss: 0.270894, train_accuracy: 0.9442
[04/05 16:23:00]: Epoch Test: 91, Current test accuracy: 0.8711, Best test accuracy in 79: 0.8826
[04/05 16:23:12]: epoch: 92, train_loss: 0.267694, train_accuracy: 0.9460
[04/05 16:23:13]: Epoch Test: 92, Current test accuracy: 0.8723, Best test accuracy in 79: 0.8826
[04/05 16:23:25]: epoch: 93, train_loss: 0.258944, train_accuracy: 0.9473
[04/05 16:23:25]: Epoch Test: 93, Current test accuracy: 0.8787, Best test accuracy in 79: 0.8826
[04/05 16:23:37]: epoch: 94, train_loss: 0.263113, train_accuracy: 0.9463
[04/05 16:23:38]: Epoch Test: 94, Current test accuracy: 0.8746, Best test accuracy in 79: 0.8826
[04/05 16:23:50]: epoch: 95, train_loss: 0.266488, train_accuracy: 0.9461
[04/05 16:23:51]: Epoch Test: 95, Current test accuracy: 0.8835, Best test accuracy in 95: 0.8835
[04/05 16:24:03]: epoch: 96, train_loss: 0.247497, train_accuracy: 0.9497
[04/05 16:24:04]: Epoch Test: 96, Current test accuracy: 0.8799, Best test accuracy in 95: 0.8835
[04/05 16:24:16]: epoch: 97, train_loss: 0.255845, train_accuracy: 0.9485
[04/05 16:24:16]: Epoch Test: 97, Current test accuracy: 0.8839, Best test accuracy in 97: 0.8839
[04/05 16:24:28]: epoch: 98, train_loss: 0.246006, train_accuracy: 0.9500
[04/05 16:24:29]: Epoch Test: 98, Current test accuracy: 0.8859, Best test accuracy in 98: 0.8859
[04/05 16:24:41]: epoch: 99, train_loss: 0.248292, train_accuracy: 0.9478
[04/05 16:24:42]: Epoch Test: 99, Current test accuracy: 0.8882, Best test accuracy in 99: 0.8882
[04/05 16:24:54]: epoch: 100, train_loss: 0.241756, train_accuracy: 0.9500
[04/05 16:24:55]: Epoch Test: 100, Current test accuracy: 0.8868, Best test accuracy in 99: 0.8882
[04/05 16:25:07]: epoch: 101, train_loss: 0.244380, train_accuracy: 0.9508
[04/05 16:25:08]: Epoch Test: 101, Current test accuracy: 0.8834, Best test accuracy in 99: 0.8882
[04/05 16:25:19]: epoch: 102, train_loss: 0.236281, train_accuracy: 0.9511
[04/05 16:25:20]: Epoch Test: 102, Current test accuracy: 0.8861, Best test accuracy in 99: 0.8882
[04/05 16:25:32]: epoch: 103, train_loss: 0.239850, train_accuracy: 0.9512
[04/05 16:25:33]: Epoch Test: 103, Current test accuracy: 0.8799, Best test accuracy in 99: 0.8882
[04/05 16:25:45]: epoch: 104, train_loss: 0.237479, train_accuracy: 0.9515
[04/05 16:25:45]: Epoch Test: 104, Current test accuracy: 0.8694, Best test accuracy in 99: 0.8882
[04/05 16:25:57]: epoch: 105, train_loss: 0.239368, train_accuracy: 0.9514
[04/05 16:25:58]: Epoch Test: 105, Current test accuracy: 0.8860, Best test accuracy in 99: 0.8882
[04/05 16:26:10]: epoch: 106, train_loss: 0.236322, train_accuracy: 0.9521
[04/05 16:26:11]: Epoch Test: 106, Current test accuracy: 0.8888, Best test accuracy in 106: 0.8888
[04/05 16:26:22]: epoch: 107, train_loss: 0.229861, train_accuracy: 0.9518
[04/05 16:26:23]: Epoch Test: 107, Current test accuracy: 0.8830, Best test accuracy in 106: 0.8888
[04/05 16:26:35]: epoch: 108, train_loss: 0.224628, train_accuracy: 0.9538
[04/05 16:26:36]: Epoch Test: 108, Current test accuracy: 0.8847, Best test accuracy in 106: 0.8888
[04/05 16:26:48]: epoch: 109, train_loss: 0.224243, train_accuracy: 0.9542
[04/05 16:26:48]: Epoch Test: 109, Current test accuracy: 0.8813, Best test accuracy in 106: 0.8888
[04/05 16:27:00]: epoch: 110, train_loss: 0.226208, train_accuracy: 0.9536
[04/05 16:27:01]: Epoch Test: 110, Current test accuracy: 0.8890, Best test accuracy in 110: 0.8890
[04/05 16:27:13]: epoch: 111, train_loss: 0.225963, train_accuracy: 0.9532
[04/05 16:27:13]: Epoch Test: 111, Current test accuracy: 0.8837, Best test accuracy in 110: 0.8890
[04/05 16:27:25]: epoch: 112, train_loss: 0.218751, train_accuracy: 0.9545
[04/05 16:27:26]: Epoch Test: 112, Current test accuracy: 0.8901, Best test accuracy in 112: 0.8901
[04/05 16:27:38]: epoch: 113, train_loss: 0.225297, train_accuracy: 0.9536
[04/05 16:27:39]: Epoch Test: 113, Current test accuracy: 0.8772, Best test accuracy in 112: 0.8901
[04/05 16:27:50]: epoch: 114, train_loss: 0.213171, train_accuracy: 0.9559
[04/05 16:27:51]: Epoch Test: 114, Current test accuracy: 0.8909, Best test accuracy in 114: 0.8909
[04/05 16:28:03]: epoch: 115, train_loss: 0.212974, train_accuracy: 0.9561
[04/05 16:28:04]: Epoch Test: 115, Current test accuracy: 0.8838, Best test accuracy in 114: 0.8909
[04/05 16:28:16]: epoch: 116, train_loss: 0.218217, train_accuracy: 0.9560
[04/05 16:28:16]: Epoch Test: 116, Current test accuracy: 0.8875, Best test accuracy in 114: 0.8909
[04/05 16:28:28]: epoch: 117, train_loss: 0.199567, train_accuracy: 0.9589
[04/05 16:28:29]: Epoch Test: 117, Current test accuracy: 0.8795, Best test accuracy in 114: 0.8909
[04/05 16:28:41]: epoch: 118, train_loss: 0.203055, train_accuracy: 0.9585
[04/05 16:28:42]: Epoch Test: 118, Current test accuracy: 0.8787, Best test accuracy in 114: 0.8909
[04/05 16:28:54]: epoch: 119, train_loss: 0.213496, train_accuracy: 0.9567
[04/05 16:28:54]: Epoch Test: 119, Current test accuracy: 0.8788, Best test accuracy in 114: 0.8909
[04/05 16:29:06]: epoch: 120, train_loss: 0.214470, train_accuracy: 0.9563
[04/05 16:29:07]: Epoch Test: 120, Current test accuracy: 0.8913, Best test accuracy in 120: 0.8913
[04/05 16:29:19]: epoch: 121, train_loss: 0.206949, train_accuracy: 0.9572
[04/05 16:29:20]: Epoch Test: 121, Current test accuracy: 0.8786, Best test accuracy in 120: 0.8913
[04/05 16:29:32]: epoch: 122, train_loss: 0.195380, train_accuracy: 0.9600
[04/05 16:29:32]: Epoch Test: 122, Current test accuracy: 0.8871, Best test accuracy in 120: 0.8913
[04/05 16:29:44]: epoch: 123, train_loss: 0.197958, train_accuracy: 0.9599
[04/05 16:29:45]: Epoch Test: 123, Current test accuracy: 0.8885, Best test accuracy in 120: 0.8913
[04/05 16:29:57]: epoch: 124, train_loss: 0.202124, train_accuracy: 0.9583
[04/05 16:29:58]: Epoch Test: 124, Current test accuracy: 0.8796, Best test accuracy in 120: 0.8913
[04/05 16:30:09]: epoch: 125, train_loss: 0.186270, train_accuracy: 0.9616
[04/05 16:30:10]: Epoch Test: 125, Current test accuracy: 0.8786, Best test accuracy in 120: 0.8913
[04/05 16:30:22]: epoch: 126, train_loss: 0.199155, train_accuracy: 0.9593
[04/05 16:30:23]: Epoch Test: 126, Current test accuracy: 0.8868, Best test accuracy in 120: 0.8913
[04/05 16:30:35]: epoch: 127, train_loss: 0.192453, train_accuracy: 0.9600
[04/05 16:30:35]: Epoch Test: 127, Current test accuracy: 0.8859, Best test accuracy in 120: 0.8913
[04/05 16:30:47]: epoch: 128, train_loss: 0.193369, train_accuracy: 0.9610
[04/05 16:30:48]: Epoch Test: 128, Current test accuracy: 0.8840, Best test accuracy in 120: 0.8913
[04/05 16:31:00]: epoch: 129, train_loss: 0.190934, train_accuracy: 0.9603
[04/05 16:31:01]: Epoch Test: 129, Current test accuracy: 0.8848, Best test accuracy in 120: 0.8913
[04/05 16:31:13]: epoch: 130, train_loss: 0.186281, train_accuracy: 0.9618
[04/05 16:31:14]: Epoch Test: 130, Current test accuracy: 0.8912, Best test accuracy in 120: 0.8913
[04/05 16:31:25]: epoch: 131, train_loss: 0.189196, train_accuracy: 0.9618
[04/05 16:31:26]: Epoch Test: 131, Current test accuracy: 0.8896, Best test accuracy in 120: 0.8913
[04/05 16:31:38]: epoch: 132, train_loss: 0.189360, train_accuracy: 0.9614
[04/05 16:31:39]: Epoch Test: 132, Current test accuracy: 0.8952, Best test accuracy in 132: 0.8952
[04/05 16:31:50]: epoch: 133, train_loss: 0.191188, train_accuracy: 0.9609
[04/05 16:31:51]: Epoch Test: 133, Current test accuracy: 0.8948, Best test accuracy in 132: 0.8952
[04/05 16:32:03]: epoch: 134, train_loss: 0.178681, train_accuracy: 0.9643
[04/05 16:32:04]: Epoch Test: 134, Current test accuracy: 0.8892, Best test accuracy in 132: 0.8952
[04/05 16:32:15]: epoch: 135, train_loss: 0.183925, train_accuracy: 0.9624
[04/05 16:32:16]: Epoch Test: 135, Current test accuracy: 0.8932, Best test accuracy in 132: 0.8952
[04/05 16:32:28]: epoch: 136, train_loss: 0.187029, train_accuracy: 0.9610
[04/05 16:32:29]: Epoch Test: 136, Current test accuracy: 0.8874, Best test accuracy in 132: 0.8952
[04/05 16:32:41]: epoch: 137, train_loss: 0.180568, train_accuracy: 0.9627
[04/05 16:32:41]: Epoch Test: 137, Current test accuracy: 0.8866, Best test accuracy in 132: 0.8952
[04/05 16:32:53]: epoch: 138, train_loss: 0.178325, train_accuracy: 0.9645
[04/05 16:32:54]: Epoch Test: 138, Current test accuracy: 0.8843, Best test accuracy in 132: 0.8952
[04/05 16:33:06]: epoch: 139, train_loss: 0.176203, train_accuracy: 0.9642
[04/05 16:33:06]: Epoch Test: 139, Current test accuracy: 0.8900, Best test accuracy in 132: 0.8952
[04/05 16:33:18]: epoch: 140, train_loss: 0.173886, train_accuracy: 0.9649
[04/05 16:33:19]: Epoch Test: 140, Current test accuracy: 0.8878, Best test accuracy in 132: 0.8952
[04/05 16:33:31]: epoch: 141, train_loss: 0.174728, train_accuracy: 0.9642
[04/05 16:33:32]: Epoch Test: 141, Current test accuracy: 0.8862, Best test accuracy in 132: 0.8952
[04/05 16:33:43]: epoch: 142, train_loss: 0.180589, train_accuracy: 0.9638
[04/05 16:33:44]: Epoch Test: 142, Current test accuracy: 0.8896, Best test accuracy in 132: 0.8952
